"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000135929",1248.4063298027,-0.726148403535719,0.127031228013904,-5.71629838496279,1.08869501408273e-08,1.71442088850816e-07
"ENSG00000183696",2475.54131872252,-0.56408361757329,0.098721449532665,-5.7138911578344,1.10421639409324e-08,1.73794312566622e-07
"ENSG00000118707",4390.6606718372,-0.483122321735464,0.0845678272376391,-5.71283829224878,1.11107249012508e-08,1.74780927359867e-07
"ENSG00000298074",35.4049741676823,-3.57854083144243,0.626417756796124,-5.7127065646179,1.11193318614993e-08,1.74823871503181e-07
"ENSG00000196990",387.386916572086,1.22718426440579,0.214863204981844,5.7114677429739,1.12005929528785e-08,1.76008472566971e-07
"ENSG00000173926",695.454983071829,-0.804470801854189,0.141144301869154,-5.69963357500583,1.2006521732909e-08,1.88573390701607e-07
"ENSG00000133101",183.350009447792,-1.43418081391658,0.251684082450354,-5.69833737578332,1.20981459184181e-08,1.89912161812762e-07
"ENSG00000170113",3737.35857585442,-0.689480472497325,0.121055505072187,-5.69557305209851,1.22958222790489e-08,1.92913409986745e-07
"ENSG00000165819",8125.02891651817,0.375960054689524,0.0660227605118004,5.69440071537644,1.23806003944814e-08,1.9414112806254e-07
"ENSG00000198028",18.8719306431567,-7.72391077551632,1.35649335928076,-5.69402770951396,1.24076934048732e-08,1.94463464549401e-07
"ENSG00000141655",462.152783076299,1.02459342631924,0.179972470324015,5.69305641287586,1.24785134269309e-08,1.95470425966779e-07
"ENSG00000310325",18.6727839484308,-7.70873821086156,1.35421486974275,-5.69240405130535,1.25262992964371e-08,1.96115697458482e-07
"ENSG00000152527",846.541218010574,0.836764665834423,0.147025649922844,5.69128357040788,1.26087904542057e-08,1.9730336120003e-07
"ENSG00000228594",1681.44273394401,-0.778766224774461,0.136838231354144,-5.69114506280759,1.26190241341025e-08,1.97359679767164e-07
"ENSG00000100485",1182.33251300231,-0.587039810083345,0.103153627022387,-5.69092747418317,1.26351170408255e-08,1.97507528435857e-07
"ENSG00000141524",6040.17369057995,0.564368611886568,0.0991943817621425,5.68952194530395,1.2739551751919e-08,1.99035423300596e-07
"ENSG00000133313",12208.9947331114,-0.424286397291831,0.0746110423813456,-5.68664347461136,1.2956054230274e-08,2.02311677264022e-07
"ENSG00000151240",2382.28278631621,-0.501683856267808,0.0882301969214552,-5.68607884570881,1.29989398560114e-08,2.02874849893374e-07
"ENSG00000166963",80.1176977770483,2.19486470448542,0.386106282044665,5.68461277776234,1.3110938049385e-08,2.04515508209259e-07
"ENSG00000171988",19338.4667199549,0.536032027424964,0.0943114705583607,5.68363555622074,1.31861116460843e-08,2.05580326591232e-07
"ENSG00000185453",1461.34527448934,0.542101077682494,0.0954425837358899,5.6798659095672,1.3480037806897e-08,2.10052742085786e-07
"ENSG00000169252",64.1510260129935,2.72218402981451,0.479371802105666,5.67864863527052,1.35763032113799e-08,2.11442037502051e-07
"ENSG00000158806",88.2129872726994,-1.9748028444763,0.347808047506999,-5.67785265071121,1.36396126631843e-08,2.12316880110802e-07
"ENSG00000153291",659.157283889477,0.753255664964603,0.132697556202437,5.67648483153281,1.37490740759387e-08,2.1390884233104e-07
"ENSG00000189157",90.5668741955025,1.84869846053689,0.32585762859232,5.67333184287607,1.40046567347074e-08,2.1777131410734e-07
"ENSG00000081189",104.043178612337,-2.11639835071187,0.373054649233694,-5.673159026591,1.40187979196398e-08,2.1787731542086e-07
"ENSG00000184302",327.076524927784,-6.15181746339013,1.08441737745533,-5.67292408927073,1.40380445841659e-08,2.18062512921766e-07
"ENSG00000144583",240.608721759477,1.24888366686692,0.220184510864495,5.67198692570843,1.41150751599056e-08,2.19030329046277e-07
"ENSG00000127955",2605.10081654578,-0.550157309619689,0.0969944331128714,-5.67205036375105,1.41098479106734e-08,2.19030329046277e-07
"ENSG00000164687",4816.11454062886,-0.535766143239334,0.0944659401553866,-5.67152713833213,1.41530175789393e-08,2.19504595370545e-07
"ENSG00000260230",231.035135354682,1.18298557399816,0.208631415711255,5.67021783351847,1.42616071805922e-08,2.21073490777007e-07
"ENSG00000188322",10489.3543078778,-0.427787569987724,0.075462910376464,-5.66884536858713,1.43763038497484e-08,2.22735370113785e-07
"ENSG00000130222",668.460972142879,-0.77834931678085,0.137316875466923,-5.66827139151107,1.44245363000359e-08,2.23366309899619e-07
"ENSG00000309174",185.355728575632,1.62330120687293,0.286388613918848,5.66817648460324,1.44325266487658e-08,2.23373761821454e-07
"ENSG00000143641",11246.2832452129,0.464764906358484,0.0820060884055665,5.66744391050526,1.4494347961853e-08,2.24213920343858e-07
"ENSG00000142765",807.431391695908,0.730190275104477,0.128855921485173,5.66671881810644,1.45557911750442e-08,2.2500014180774e-07
"ENSG00000008735",260.308768010975,-1.17785220369419,0.207856306143619,-5.66666571511355,1.45603009708508e-08,2.2500014180774e-07
"ENSG00000163958",345.658552772802,1.06628248340083,0.188260388413969,5.66387062293829,1.47996009667278e-08,2.28579299043226e-07
"ENSG00000159618",918.778700273471,0.740405983507126,0.130792481580015,5.66092159551363,1.50562209486109e-08,2.32422109267425e-07
"ENSG00000223749",264.802812444688,-1.22292302539335,0.21606399771039,-5.66000369498184,1.51369735879995e-08,2.33547486162978e-07
